IATA,AIRPORT,CITY,STATE,COUNTRY
ITH,Tompkins Cty ,Ithaca,NY,USA
ITO,Hilo International,Hilo,HI,USA
IYK,Inyokern,Inyokern,CA,USA
JAC,Jackson Hole,Jackson,WY,USA
JAN,Jackson International,Jackson,MS,USA
JLN,Joplin Regional,Joplin,MO,USA
JMS,Jamestown Municipal,Jamestown,ND,USA
JNU,Juneau International,Juneau,AK,USA
KOA,Kona International At Keahole,Kailua Kona,HI,USA
KTN,Ketchikan International,Ketchikan,AK,USA
LAN,Capital City,Lansing,MI,USA
LAR,Laramie Regional,Laramie,WY,USA
LAW,Lawton-Ft Sill Regional,Lawton,OK,USA
LBB,Lubbock International,Lubbock,TX,USA
LCH,Lake Charles Regional,Lake Charles,LA,USA
LEX,Blue Grass ,Lexington,KY,USA
LFT,Lafayette Regional,Lafayette,LA,USA
LGB,Long Beach (Daugherty ),Long Beach,CA,USA
LIH,Lihue,Lihue,HI,USA
LMT,Klamath Falls International,Klamath Falls,OR,USA
LNK,Lincoln Municipal,Lincoln,NE,USA
LRD,Laredo International,Laredo,TX,USA
LSE,La Crosse Municipal,La Crosse,WI,USA
LWB,Greenbrier Valley,Lewisburg,WV,USA
LWS,Lewiston-Nez Perce County,Lewiston,ID,USA
LYH,Lynchburg Municipal-Preston Glenn ,Lynchburg,VA,USA
MAF,Midland International,Midland,TX,USA
MBS,Mbs International,Saginaw,MI,USA
MCN,Middle Georgia Regional,Macon,GA,USA
MDT,Harrisburg Intl,Harrisburg,PA,USA
MEI,Key ,Meridian,MS,USA
MFE,McAllen Miller International,McAllen,TX,USA
MFR,Rogue Valley International,Medford,OR,USA
MGM,Montgomery Regional Apt,Montgomery,AL,USA
MHK,Manhattan Regional,Manhattan,KS,USA
MHT,Manchester,Manchester,NH,USA
MKG,Muskegon County,Muskegon,MI,USA
MLB,Melbourne International ,Melbourne,FL,USA
MLI,Quad City,Moline,IL,USA
MLU,Monroe Regional,Monroe,LA,USA
MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA
MOB,Mobile Regional,Mobile,AL,USA
MOD,Modesto City-County-Harry Sham ,Modesto,CA,USA
MOT,Minot International,Minot,ND,USA
MQT,Marquette County Airport,NA,NA,USA
MRY,Monterey Peninsula,Monterey,CA,USA
MSN,Dane County Regional,Madison,WI,USA
MSO,Missoula International,Missoula,MT,USA
MTJ,Montrose Regional,Montrose,CO,USA
MVY,Marthas Vineyard,Marthas Vineyard,MA,USA
MWH,Grant County,Moses Lake,WA,USA
MYR,Myrtle Beach International,Myrtle Beach,SC,USA
OAJ,Albert J Ellis,Jacksonville,NC,USA
OME,Nome,Nome,AK,USA
ORH,Worcester Regional,Worcester,MA,USA
OTH,North Bend Muni,North Bend,OR,USA
OTZ,Ralph Wien Memorial,Kotzebue,AK,USA
OXR,Oxnard,Oxnard,CA,USA
PAH,Barkley Regional,Paducah,KY,USA
PFN,Panama City-Bay County International,Panama City,FL,USA
PHF,Newport News Williamsburg International,Newport News,VA,USA
PIA,Greater Peoria Regional,Peoria,IL,USA
PIB,Hattiesburg-Laurel Regional,Hattiesburg-Laurel,MS,USA
PIE,St. Petersburg-Clearwater International,St. Petersburg,FL,USA
PIH,Pocatello Regional,Pocatello,ID,USA
PIR,Pierre Regional,Pierre,SD,USA
PLN,Pellston Regional  of Emmet County,Pellston,MI,USA
PNS,Pensacola Regional,Pensacola,FL,USA
PPG,Pago Pago International,Pago Pago,AS,USA
PSC,Tri-Cities,Pasco,WA,USA
PSE,Mercedita,Ponce,PR,USA
PSG,James C. Johnson Petersburg,Petersburg,AK,USA
PSP,Palm Springs International,Palm Springs,CA,USA
PUB,Pueblo Memorial,Pueblo,CO,USA
PWM,Portland International Jetport,Portland,ME,USA
RAP,Rapid City Regional,Rapid City,SD,USA
RDD,Redding Municipal,Redding,CA,USA
RDM,Roberts ,Redmond,OR,USA
RFD,Greater Rockford,Rockford,IL,USA
RHI,Rhinelander-Oneida County,Rhinelander,WI,USA
RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA
ROA,Roanoke Regional  Woodrum ,Roanoke,VA,USA
ROC,Greater Rochester Int'l,Rochester,NY,USA
ROW,Roswell Industrial Air Center,Roswell,NM,USA
RST,Rochester International,Rochester,MN,USA
SAF,Santa Fe Municipal,Santa Fe,NM,USA
SAV,Savannah International,Savannah,GA,USA
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA
SBN,South Bend Regional,South Bend,IN,USA
SBP,San Luis Obispo Co-McChesney ,San Luis Obispo,CA,USA
SCC,Deadhorse,Deadhorse,AK,USA
SCE,University Park,NA,NA,USA
SGF,Springfield-Branson Regional,Springfield,MO,USA
SGU,St George Muni,St George,UT,USA
SHD,Shenandoah Valley Regional,Staunton Harrisonburg,VA,USA
SHV,Shreveport Regional,Shreveport,LA,USA
SIT,Sitka,Sitka,AK,USA
SJT,San Angelo Regional  Mathis ,San Angelo,TX,USA
SMX,Santa Maria Pub Capt G Allan Hancock ,Santa Maria,CA,USA
SPI,Capital,Springfield,IL,USA
SPS,Sheppard AFB Wichita Falls Municipal,Wichita Falls,TX,USA
SRQ,Sarasota Bradenton International,Sarasota,FL,USA
STC,St Cloud Regional,St Cloud,MN,USA
STT,Cyril E. King,Charlotte Amalie,VI,USA
BFL,Meadows ,Bakersfield,CA,USA
